TEMPLATE NAME,SEARCH SET NAME,SEARCH SET ID,ACTION,PARAMETERS
800-FRP 2C - T1 Pour-27-06-2026 08:00_27-06-2026 17:00,Actual End Date Demo less_than End_2026-06-27 17:00:00,011996d3-f604-4dd3-bea7-f6e69653d909,Color,241-14-38
800-FRP 2C - T1 Pour-27-06-2026 08:00_27-06-2026 17:00,Tasks Starts in Between_2026-06-27 08:00:00_2026-06-27 17:00:00,4aa1ecf5-5976-478f-a7a2-355ace1e6842,Color,79-134-255
800-FRP 3 - A2 Pour-08-08-2026 08:00_08-08-2026 17:00,Deck Pour Sequence Context,fe293f50-241b-44f8-a723-42277ca8fe21,Isolate,
800-FRP 3 - A2 Pour-08-08-2026 08:00_08-08-2026 17:00,Deck Pour Sequence Hidden,d832cbd2-5ca6-488a-8867-09bdf2aa6c36,Hide,
800-FRP 3 - A2 Pour-08-08-2026 08:00_08-08-2026 17:00,Actual End Date Demo less_than Start_2026-08-08 08:00:00,5d6ff615-9c84-455f-beb9-38bb79679cd5,Hide,
800-FRP 3 - A2 Pour-08-08-2026 08:00_08-08-2026 17:00,Actual Start Date Construct greater_than End_2026-08-08 17:00:00,cde9b2a5-cda0-467a-b3cc-f636eadd12a6,Hide,
800-FRP 3 - A2 Pour-08-08-2026 08:00_08-08-2026 17:00,Actual Start Date Construct greater_than Start_2026-08-08 08:00:00,e251b368-4cf1-4f9c-aae1-b70894a87963,Color,255-116-10
800-FRP 3 - A2 Pour-08-08-2026 08:00_08-08-2026 17:00,Actual End Date Demo less_than End_2026-08-08 17:00:00,337c7c20-50af-4a3f-a82f-791d3751e114,Color,241-14-38
800-FRP 3 - A2 Pour-08-08-2026 08:00_08-08-2026 17:00,Tasks Starts in Between_2026-08-08 08:00:00_2026-08-08 17:00:00,f84e13e5-37ca-4012-bb80-e811dca52f18,Color,79-134-255
800-FRP 4 - A1 Pour-10-08-2026 08:00_10-08-2026 17:00,Deck Pour Sequence Context,fe293f50-241b-44f8-a723-42277ca8fe21,Isolate,
800-FRP 4 - A1 Pour-10-08-2026 08:00_10-08-2026 17:00,Deck Pour Sequence Hidden,d832cbd2-5ca6-488a-8867-09bdf2aa6c36,Hide,
800-FRP 4 - A1 Pour-10-08-2026 08:00_10-08-2026 17:00,Actual End Date Demo less_than Start_2026-08-10 08:00:00,84e1c627-3c66-4490-bc48-e45eea73f690,Hide,
800-FRP 4 - A1 Pour-10-08-2026 08:00_10-08-2026 17:00,Actual Start Date Construct greater_than End_2026-08-10 17:00:00,d422125f-e000-41cb-b4cf-67e52ec0bd93,Hide,
800-FRP 4 - A1 Pour-10-08-2026 08:00_10-08-2026 17:00,Actual Start Date Construct greater_than Start_2026-08-10 08:00:00,78dfce52-b6d0-4c66-aba3-aa5c1ba40ed5,Color,255-116-10
800-FRP 4 - A1 Pour-10-08-2026 08:00_10-08-2026 17:00,Actual End Date Demo less_than End_2026-08-10 17:00:00,ec2838b0-304b-4be9-9f26-1bbd9014d815,Color,241-14-38
800-FRP 4 - A1 Pour-10-08-2026 08:00_10-08-2026 17:00,Tasks Starts in Between_2026-08-10 08:00:00_2026-08-10 17:00:00,c2bb0353-379c-478c-b44a-69c0ec9fc079,Color,79-134-255
800-FRP 5 - Mid-Span Pour-18-08-2026 08:00_18-08-2026 17:00,Deck Pour Sequence Context,fe293f50-241b-44f8-a723-42277ca8fe21,Isolate,
800-FRP 5 - Mid-Span Pour-18-08-2026 08:00_18-08-2026 17:00,Deck Pour Sequence Hidden,d832cbd2-5ca6-488a-8867-09bdf2aa6c36,Hide,
800-FRP 5 - Mid-Span Pour-18-08-2026 08:00_18-08-2026 17:00,Actual End Date Demo less_than Start_2026-08-18 08:00:00,995920bf-4e77-420f-9f03-5999c21167dc,Hide,
800-FRP 5 - Mid-Span Pour-18-08-2026 08:00_18-08-2026 17:00,Actual Start Date Construct greater_than End_2026-08-18 17:00:00,3f3bdfc7-d2fc-4988-a7fa-7946f5951462,Hide,
800-FRP 5 - Mid-Span Pour-18-08-2026 08:00_18-08-2026 17:00,Actual Start Date Construct greater_than Start_2026-08-18 08:00:00,0bc772ea-d99b-4670-a217-16ad1f7002db,Color,255-116-10
800-FRP 5 - Mid-Span Pour-18-08-2026 08:00_18-08-2026 17:00,Actual End Date Demo less_than End_2026-08-18 17:00:00,ab4b13f7-a16f-469f-8afa-3dc21695c2b6,Color,241-14-38
800-FRP 5 - Mid-Span Pour-18-08-2026 08:00_18-08-2026 17:00,Tasks Starts in Between_2026-08-18 08:00:00_2026-08-18 17:00:00,a82c61b8-dd6d-4cb5-9ff9-89c5103f65ba,Color,79-134-255
